name,address,cuisine,region
Cactus Club Cafe,1530 W Broadway,American,Fairview
Afghan Horsemen Restaurant,202-1833 Anderson Street,Middle Eastern,Fairview
Dynasty Seafood Restaurant 皇朝海鮮酒家,108-777 W Broadway,Chinese,Fairview
B-Bin,3098 Oak Street,Japanese,Fairview
liquids+solids,1550 W Broadway,Café,Fairview
The Sandbar Seafood Restaurant,1536 Johnston St.,Seafood,Fairview
Breakfast Table,1481 West Broadway,Breakfast,Fairview
The Keg Steakhouse + Bar - Granville Island,1499 Anderson Street Granville Island,Restaurant,Fairview
Royal Seoul House Korean Restaurant,100 - 1215 W Broadway,Korean,Fairview
Dockside Restaurant,1253 Johnston St,Seafood,Fairview
Raga Restaurant,1177 Broadway W,Indian,Fairview
The Stable House,1520 W 13th Ave,Restaurant,Fairview
Bin 4,2996 Granville Street,Burgers,Fairview
Terra Breads,1689 Johnston St,Bakery,Fairview
Cactus Club Cafe,575 West Broadway,American,Fairview
Tony's Fish & Oyster Café,1511 Anderson St,Seafood,Fairview
Bistro 101,101-1505 2nd Avenue W,Restaurant,Fairview
Vivanty's,802 West Broadway,Sandwiches,Fairview
Prado Cafe,1809 Fir Street,Café,Fairview
De Dutch,3192 Oak St.,Breakfast,Fairview
Jitlada,1459 Broadway West,Thai,Fairview
Flying Swan Coffeehouse,1724 West 4th Avenue,Breakfast,Fairview
Bon Macaron,,Bakery,Fairview
Yanaki Sushi,816 W 6th Ave.,Sushi,Fairview
Gourmet Wok,1689 Johnston Street,Chinese,Fairview
Duke's On Broadway,736 W Broadway,Diner,Fairview
Sushi Dragon,614 W Broadway,Japanese,Fairview
Branas Mediterranean Grill,617 Stamps Landing,Mediterranean,Fairview
Sen Pad Thai,1689 Johnston Street,Thai,Fairview
Bridges Restaurant,1696 Duranleau St,American,Fairview
Earls,1601 W Broadway,American,Fairview
Muffin Granny,1689 Johnston Street,Bakery,Fairview
Donair Spot,806 West Broadway,Falafel,Fairview
Max's Bakery & Delicatessen,3105 Oak Street,Bakery,Fairview
The Market Grill,104 - 1689 Johnston St,Burgers,Fairview
Popina,,Bistro,Fairview
Tim Hortons,1398 West Broadway,Restaurant,Fairview
Subway,1288 W Broadway,Sandwiches,Fairview
Szechuan Chili Restaurant,804 W 6th Ave.,Szechuan,Fairview
À La Mode,137 - 1689 Johnston St,Café,Fairview
Caffé Barney,2975 Granville St.,Breakfast,Fairview
The Marquis,2666 Granville St,Gastropub,Fairview
Apollonia,1830 Fir Street,Greek,Fairview
Tojo's Restaurant,1133 W Broadway,Sushi,Fairview
Chang'An,1661 Granville St,Chinese,Fairview
Kaisereck Deli,1689 Johnston St,German,Fairview
QQ Sushi,1640 W Broadway,Sushi,Fairview
A&W,777 West Broadway,Fast Food,Fairview
Subway,"700 West 6th Avenue, Retail Unit D",Sandwiches,Fairview
Boston Pizza,190 - 1333 W Broadway,Pizza,Fairview
Stock Market,1551 Johnston St,Soup,Fairview
Ebisu on Broadway,B16 - 601 W. Broadway,Japanese,Fairview
Panago Pizza,1278 W Broadway,Pizza,Fairview
Tony's Coffee,805 west broadway,Café,Fairview
Denny's,1759 West Broadway,Breakfast,Fairview
Tomokazu,201-1128 W Broadway,Japanese,Fairview
IHOP,200-950 W Broadway,Breakfast,Fairview
Subway,102-1595 W Broadway,Sandwiches,Fairview
Kisokoma,805 W Broadway,Japanese,Fairview
Bella Pizza,2525 Hemlock St,Pizza,Fairview
New India Buffet & Restaurant,#105 - 805 West Broadway,Indian,Fairview
Ro Sushi,678 West Broadway,Japanese,Fairview
Szechuan Chongqing Seafood Restaurant,#205-1668 W Broadway,Dim Sum,Fairview
Salad Loop,2775 Laurel St,Salad,Fairview
Express Pho,1455 W Broadway,Vietnamese,Fairview
Sassafras Food Fair,,Food Court,Fairview
Ichibankan Express,750 West Broadway,Sushi,Fairview
Shanghai Lu Restaurant,705 W Broadway Street,Asian,Fairview
